Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Ollius Laecanius,39,11,Rome,199,73,Retiarius,6,0,Novice,Trident,High,Superior,0.722528909047791,Low,2.8252030129250256,Excellent,Basic,Strong,6,Stoic,Excellent,Survival,Criminal,Low,Aggressive,Low,Charismatic,True
Mamilius Valerius,36,14,Greece,183,99,Secutor,4,1,Novice,Dagger,Medium,Standard,0.47131063602990847,Low,2.747699755805659,Adequate,Basic,Moderate,5,Aggressive,Good,Glory,Criminal,Low,Balanced,Medium,Humble,True
Cassius Cordius,18,32,Gaul,179,78,Murmillo,3,0,Novice,Dagger,High,Superior,0.5094930554047601,Low,6.9580663451388896,Excellent,Intermediate,Strong,3,Calculative,Excellent,Vengeance,Laborer,Medium,Balanced,High,Humble,True
Cornelius Gracchus,18,32,Gaul,166,88,Provocator,3,0,Strength,Dagger,High,Superior,0.543640869683198,Low,10.15722474096117,Excellent,Expert,Strong,3,Stoic,Excellent,Survival,Laborer,High,Aggressive,High,Humble,True
Norbanus Fabius,34,16,Greece,173,87,Hoplomachus,11,5,Novice,Dagger,Medium,Standard,0.6919972975483768,Low,9.097416346334754,Adequate,Intermediate,Moderate,16,Stoic,Excellent,Vengeance,Unemployed,Medium,Aggressive,Low,Charismatic,True
Bruttius Nasennius,45,5,Rome,172,83,Thraex,16,4,Novice,Dagger,Medium,Standard,0.7624363737768395,High,1.8295062896986727,Adequate,Basic,Strong,20,Fearful,Fair,Survival,Laborer,Low,Balanced,High,Charismatic,True
Pedius Cestius,39,11,Greece,175,58,Murmillo,7,3,Novice,Dagger,High,Superior,0.5755047464182352,Low,8.80062719704945,Excellent,Basic,Strong,10,Stoic,Excellent,Wealth,Criminal,Medium,Balanced,Medium,Humble,True
Baebius Sulpicius,26,24,Gaul,161,76,Murmillo,8,2,Novice,Dagger,Low,Basic,0.7935444472322376,Low,3.30987923822004,Poor,Intermediate,Strong,10,Stoic,Excellent,Freedom,Unemployed,Medium,Balanced,High,Intimidating,True
Novellius Caedicius,37,13,Greece,196,57,Retiarius,8,3,Agility,Trident,High,Superior,0.6822736033647195,Low,7.5194429831345575,Excellent,Advanced,Strong,11,Stoic,Excellent,Wealth,Unemployed,Low,Balanced,High,Intimidating,True
Iulius Ogulnius,30,20,Rome,193,75,Hoplomachus,5,1,Tactics,Dagger,Medium,Standard,0.703717900076557,Low,7.894909612207427,Adequate,Advanced,Strong,6,Stoic,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Flamboyant,True
Gracchus Albinius,27,23,Thrace,173,69,Provocator,4,0,Strength,Dagger,Low,Basic,0.603876720131686,Low,3.5231376817590685,Poor,Advanced,Moderate,4,Aggressive,Excellent,Survival,Laborer,Medium,Aggressive,Medium,Humble,True
Opellius Maecenas,28,22,Thrace,176,80,Murmillo,8,1,Tactics,Gladius (Sword),Low,Basic,0.7109850880732473,Low,2.464850922555845,Poor,Expert,Strong,9,Fearful,Excellent,Glory,Laborer,Low,Aggressive,Medium,Flamboyant,True
Icilius Minicius,23,27,Numidia,166,87,Murmillo,4,0,Agility,Gladius (Sword),Medium,Standard,0.5811052640505486,Low,7.53679413106559,Adequate,Advanced,Moderate,4,Fearful,Excellent,Glory,Soldier,High,Aggressive,Medium,Charismatic,True
Mamilius Petilius,19,31,Rome,174,79,Hoplomachus,2,0,Strength,Spear,Medium,Standard,0.4623415545038304,Low,6.623965525797571,Adequate,Expert,Moderate,2,Aggressive,Excellent,Glory,Soldier,Medium,Balanced,Medium,Humble,False
Iuventius Ennius,30,20,Thrace,169,71,Provocator,4,1,Novice,Dagger,High,Superior,0.6105112525054035,Low,3.3427214443739266,Excellent,Basic,Strong,5,Calculative,Excellent,Freedom,Criminal,Medium,Balanced,High,Charismatic,True
Lucius Flavius,20,30,Thrace,170,73,Provocator,4,1,Novice,Gladius (Sword),Medium,Standard,0.5138462333956082,Low,4.261872914367699,Adequate,Intermediate,Moderate,5,Stoic,Excellent,Survival,Soldier,Medium,Balanced,Low,Humble,False
Pedius Ovidius,32,18,Rome,177,83,Hoplomachus,7,1,Novice,Spear,High,Superior,0.6624444908956819,Low,5.0230720685612935,Excellent,Intermediate,Strong,8,Calculative,Excellent,Survival,Unemployed,Medium,Balanced,High,Intimidating,True
Marcus Cassius,39,11,Thrace,163,57,Thraex,8,1,Novice,Dagger,Medium,Standard,0.720133493674331,High,1.5734064059265331,Adequate,Basic,Strong,9,Calculative,Fair,Glory,Entertainer,Low,Balanced,High,Humble,True
Aulus Spurius,42,8,Rome,179,60,Retiarius,17,2,Novice,Trident,High,Superior,0.864649032486143,High,1.0218199747676042,Excellent,Basic,Strong,19,Aggressive,Fair,Vengeance,Laborer,Medium,Balanced,Medium,Charismatic,True
Nautius Nigidius,32,18,Greece,177,78,Hoplomachus,7,2,Agility,Spear,Low,Basic,0.6678786658315093,Low,0.9633388474398435,Poor,Advanced,Moderate,9,Calculative,Excellent,Vengeance,Unemployed,Medium,Balanced,Medium,Charismatic,False
Cornelius Munatius,32,18,Germania,166,84,Hoplomachus,8,1,Novice,Spear,Low,Basic,0.757821829453144,Low,5.3319073470452265,Poor,Intermediate,Strong,9,Fearful,Excellent,Glory,Unemployed,Low,Balanced,High,Intimidating,True
Hostius Cilnius,27,23,Greece,193,80,Murmillo,7,1,Agility,Dagger,High,Superior,0.5945804460284827,High,7.588282626691473,Excellent,Expert,Strong,8,Aggressive,Excellent,Survival,Entertainer,Medium,Aggressive,High,Charismatic,True
Fabrinius Nautius,24,26,Gaul,172,106,Secutor,1,0,Agility,Dagger,Low,Basic,0.39222763002883015,Low,6.430665858154746,Poor,Advanced,Weak,1,Aggressive,Excellent,Glory,Laborer,High,Aggressive,Medium,Charismatic,False
Decentius Terentius,28,22,Numidia,171,93,Murmillo,10,4,Novice,Gladius (Sword),Medium,Standard,0.6869460766880189,High,5.125055961021839,Adequate,Basic,Moderate,14,Fearful,Good,Survival,Unemployed,Low,Aggressive,Medium,Humble,True
Latinius Cornelius,21,29,Thrace,184,80,Thraex,8,1,Speed,Sica (Curved Sword),Medium,Standard,0.7953153485295892,High,6.531726634864811,Adequate,Advanced,Strong,9,Calculative,Excellent,Glory,Unemployed,Medium,Defensive,High,Flamboyant,True
Paternus Publius,26,24,Germania,179,111,Hoplomachus,5,2,Endurance,Spear,Medium,Standard,0.5558460747625507,Low,4.946566204105173,Adequate,Advanced,Moderate,7,Aggressive,Excellent,Survival,Laborer,Low,Aggressive,Medium,Humble,False
Mucius Mallius,18,32,Greece,168,56,Hoplomachus,3,2,Novice,Spear,Low,Basic,0.5465679263959978,Low,9.35248066069848,Poor,Intermediate,Moderate,5,Fearful,Excellent,Survival,Laborer,Medium,Aggressive,Low,Intimidating,False
Memmius Cestius,32,18,Germania,179,62,Retiarius,12,6,Agility,Net,High,Superior,0.7383830530618612,High,1.8997961904092264,Excellent,Advanced,Strong,18,Fearful,Good,Freedom,Criminal,Medium,Aggressive,Medium,Humble,True
Persius Agrippa,38,12,Thrace,168,56,Provocator,8,3,Novice,Dagger,High,Superior,0.6181165437468907,Low,6.356322093442441,Excellent,Intermediate,Strong,11,Aggressive,Excellent,Freedom,Laborer,Low,Balanced,Low,Intimidating,True
Burrienus Numonius,18,32,Thrace,174,47,Retiarius,4,1,Endurance,Trident,Low,Basic,0.513153574360766,Low,4.034638289034424,Poor,Advanced,Moderate,5,Stoic,Excellent,Wealth,Entertainer,High,Balanced,Medium,Charismatic,False
Cicereius Iulius,41,9,Gaul,189,71,Retiarius,13,1,Novice,Trident,High,Superior,0.9474269086140886,High,0.8827691161980246,Excellent,Basic,Strong,14,Aggressive,Fair,Vengeance,Entertainer,Medium,Balanced,High,Flamboyant,True
Didius Pacilius,36,14,Germania,170,86,Provocator,10,2,Novice,Gladius (Sword),Medium,Standard,0.7602521314088784,Low,4.255884774025494,Adequate,Basic,Strong,12,Stoic,Excellent,Glory,Unemployed,Medium,Aggressive,High,Intimidating,True
Laberius Fidenas,23,27,Greece,157,102,Hoplomachus,7,2,Speed,Dagger,Medium,Standard,0.6828597627405445,Low,1.9698709804261003,Adequate,Expert,Moderate,9,Fearful,Excellent,Vengeance,Entertainer,Medium,Balanced,Low,Humble,True
Fidenas Nautius,41,9,Numidia,166,89,Provocator,11,1,Novice,Gladius (Sword),Low,Basic,1.0675386933381807,Low,1.0887339207576097,Poor,Basic,Strong,12,Stoic,Good,Freedom,Entertainer,Low,Balanced,High,Humble,True
Servius Orestius,33,17,Greece,178,102,Secutor,9,0,Novice,Gladius (Sword),High,Superior,0.8832921559951332,Low,5.0606948714829905,Excellent,Intermediate,Strong,9,Aggressive,Excellent,Glory,Entertainer,Low,Balanced,Medium,Charismatic,True
Matienus Blossius,43,7,Greece,190,77,Retiarius,9,1,Novice,Trident,Medium,Standard,0.940469182284104,Low,1.1541101670381955,Adequate,Basic,Strong,10,Fearful,Good,Glory,Unemployed,Medium,Balanced,Medium,Flamboyant,True
Numicius Claudius,33,17,Greece,170,83,Thraex,10,0,Novice,Sica (Curved Sword),Medium,Standard,0.9279302647799658,Low,4.451972113035843,Adequate,Intermediate,Strong,10,Calculative,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Charismatic,True
Lucretius Herennius,22,28,Thrace,184,48,Thraex,6,3,Speed,Dagger,High,Superior,0.5505202780151174,Low,7.790982188871933,Excellent,Expert,Strong,9,Aggressive,Excellent,Survival,Laborer,Medium,Aggressive,Medium,Charismatic,True
Memmius Cantilius,19,31,Germania,182,81,Retiarius,2,0,Novice,Trident,High,Superior,0.4360723554433271,Low,7.084408058026449,Excellent,Basic,Strong,2,Aggressive,Excellent,Wealth,Soldier,Medium,Balanced,High,Charismatic,False
Festinius Tiberius,21,29,Greece,159,65,Murmillo,3,1,Tactics,Dagger,High,Superior,0.5152603842600516,Low,4.946746822892264,Excellent,Advanced,Strong,4,Fearful,Excellent,Glory,Unemployed,High,Balanced,Low,Humble,False
Catilius Caecilius,18,32,Numidia,160,82,Murmillo,6,3,Tactics,Dagger,Low,Basic,0.4777208033095885,Low,4.589437580918579,Poor,Advanced,Moderate,9,Stoic,Excellent,Survival,Soldier,High,Balanced,Medium,Intimidating,True
Lollius Didius,31,19,Numidia,168,87,Thraex,9,2,Novice,Dagger,Medium,Standard,0.8690691809688479,Low,2.1993898418822244,Adequate,Intermediate,Strong,11,Calculative,Excellent,Glory,Entertainer,Low,Balanced,Low,Charismatic,True
Ollius Lacerius,40,10,Greece,166,80,Secutor,7,1,Novice,Gladius (Sword),High,Superior,0.680842739629377,Low,0.888509214021096,Excellent,Basic,Strong,8,Calculative,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Charismatic,True
Norbanus Catius,38,12,Greece,178,68,Thraex,10,1,Novice,Dagger,High,Superior,0.7705985891494475,Low,3.5261011086737923,Excellent,Basic,Strong,11,Fearful,Excellent,Wealth,Unemployed,Medium,Balanced,High,Flamboyant,True
Acilius Hordeonius,29,21,Rome,178,82,Hoplomachus,5,0,Tactics,Dagger,Low,Basic,0.5467423764665021,Low,2.1633075893607017,Poor,Advanced,Moderate,5,Aggressive,Excellent,Vengeance,Laborer,Medium,Balanced,Low,Humble,False
Atilius Valerius,36,14,Greece,168,98,Murmillo,7,1,Novice,Dagger,Low,Basic,0.6288623799188301,High,3.7400108210707024,Poor,Intermediate,Moderate,8,Fearful,Fair,Wealth,Criminal,Medium,Aggressive,Low,Intimidating,True
Caninius Percennius,37,13,Greece,167,80,Retiarius,6,2,Novice,Net,High,Superior,0.6083966283073821,Low,2.6073979494794157,Excellent,Basic,Strong,8,Aggressive,Excellent,Glory,Laborer,Medium,Balanced,High,Intimidating,True
Nasidienus Nonius,36,14,Rome,177,77,Retiarius,7,2,Novice,Trident,Low,Basic,0.6675544782822425,High,1.5799766181595363,Poor,Intermediate,Moderate,9,Calculative,Fair,Wealth,Criminal,Medium,Aggressive,Medium,Charismatic,True
Opellius Baebius,20,30,Greece,182,127,Murmillo,7,2,Strength,Gladius (Sword),Medium,Standard,0.740294436180109,Low,7.879399514033025,Adequate,Expert,Strong,9,Aggressive,Excellent,Freedom,Criminal,Low,Aggressive,Low,Flamboyant,True
Munatius Cosconius,32,18,Gaul,179,86,Provocator,12,3,Endurance,Dagger,Medium,Standard,0.9052137787350942,High,3.1187701705616755,Adequate,Advanced,Strong,15,Calculative,Good,Wealth,Entertainer,Low,Balanced,Low,Intimidating,True
Aquillius Cornificius,31,19,Thrace,192,58,Thraex,10,3,Tactics,Dagger,Medium,Standard,0.727988204136135,Low,6.878257687757638,Adequate,Advanced,Strong,13,Stoic,Excellent,Survival,Laborer,Low,Aggressive,High,Flamboyant,True
Latinius Ennius,19,31,Germania,174,75,Thraex,4,1,Novice,Sica (Curved Sword),High,Superior,0.6392266993875939,Low,6.919580175413705,Excellent,Intermediate,Strong,5,Stoic,Excellent,Glory,Soldier,High,Aggressive,High,Humble,True
